epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.739,1.24764,2.34983,1.19912,0.01671,0.79558,0.54351,0.36521,0.91932,2.68433,1.0006,0.00046,0.00046,0.00046
2,343.835,1.07205,1.50105,1.03867,0.82005,0.28954,0.44032,0.29058,1.26528,2.7335,1.23125,0.000921388,0.000921388,0.000921388
